,Molecule ChEMBL ID,Molecule Name,Molecular Weight,#RO5 Violations,Smiles,Standard Value,Standard Units,pChEMBL Value
34,CHEMBL499070,,347.44,0,CS(=O)(=O)c1ccc(-c2[nH]c3ccccc3c2-c2ccccc2)cc1,0.5998,nM,9.22
35,CHEMBL500675,,416.33,1,CS(=O)(=O)c1ccc(-c2[nH]c3ccc(Cl)cc3c2-c2cccc(Cl)c2)cc1,0.7998,nM,9.1
36,CHEMBL327384,,358.89,1,CS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)cc3)CC3(CC3)C2)cc1,1.0,nM,9.0
37,CHEMBL7162,NS-398,314.36,0,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OC1CCCCC1,1.0,nM,9.0
38,CHEMBL432945,,355.46,0,COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CC3(CC3)C2)cc1,1.0,nM,9.0
39,CHEMBL88717,,359.88,0,NS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)cc3)CC3(CC3)C2)cc1,1.0,nM,9.0
40,CHEMBL313387,,394.32,1,NS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)c(Cl)c3)CC3(CC3)C2)cc1,1.0,nM,9.0
41,CHEMBL122,ROFECOXIB,314.36,0,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,1.0,nM,9.0
42,CHEMBL28155,,529.09,2,COc1ccc2c(c1)c(Cc1nc(-c3csc4ccccc34)cs1)c(C)n2C(=O)c1ccc(Cl)cc1,1.0,nM,9.0
43,CHEMBL330314,,393.43,0,NS(=O)(=O)c1ccc(C2=C(c3ccc(C(F)(F)F)cc3)CC3(CC3)C2)cc1,1.0,nM,9.0
44,CHEMBL4851853,,328.39,0,Cc1ccc(-c2cc(C)n(S(=O)(=O)Oc3ccccc3)n2)cc1,1.1,nM,8.96
45,CHEMBL92154,,342.44,0,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CC3)C2)cc1,1.1,nM,8.96
46,CHEMBL270078,,379.89,0,CS(=O)(=O)c1ccc(-c2nc(Cl)cc(NCc3cccs3)n2)cc1,1.2,nM,8.92
47,CHEMBL91118,,296.39,0,C=C1CC(c2ccc(S(C)(=O)=O)cc2)=C1c1ccccc1,1.2,nM,8.92
48,CHEMBL272433,,405.57,0,CCSc1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,1.2,nM,8.92
49,CHEMBL93372,,372.40,0,CC(=O)Oc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)COC2=O)cc1,1.26,nM,8.9
50,CHEMBL86363,,433.37,1,COc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CC3(CC3)C2)cc1Br,1.288,nM,8.89
51,CHEMBL549393,,373.40,0,CCCCNc1nc(-c2ccc(S(C)(=O)=O)cc2)cc(C(F)(F)F)n1,1.3,nM,8.89
52,CHEMBL3314084,,434.28,1,O=C1/C(=C/c2coc3ccccc3c2=O)c2ccccc2N1c1c(Cl)cccc1Cl,1.3,nM,8.89
53,CHEMBL527107,,426.34,1,CS(=O)(=O)c1ccc(-c2[nH]c3ccc(Br)cc3c2-c2ccccc2)cc1,1.409,nM,8.85
54,CHEMBL502556,,376.48,0,Cc1ccc(-c2c(-c3ccc(S(N)(=O)=O)cc3)[nH]c3ccccc23)cc1C,1.459,nM,8.84
55,CHEMBL312822,,377.87,0,NS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(Cl)c3)CC3(CC3)C2)cc1,1.5,nM,8.82
56,CHEMBL92102,,338.47,0,Cc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CC3(CC3)C2)cc1,1.5,nM,8.82
57,CHEMBL93024,,372.40,0,CC(=O)Oc1cccc(C2=C(c3ccc(S(C)(=O)=O)cc3)COC2=O)c1,1.68,nM,8.78
58,CHEMBL29766,,385.34,0,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)c(F)c2-c2ccccc2)cc1,1.7,nM,8.77
59,CHEMBL214101,,304.31,0,O=C1OCC(c2ccc(-c3nn[nH]n3)cc2)=C1c1ccccc1,1.8,nM,8.74
60,CHEMBL213338,,370.34,0,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(-c3nn[nH]n3)cc2)cc1,1.9,nM,8.72
61,CHEMBL111356,,376.91,0,CN(C)c1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CCC2)cc1Cl,1.995,nM,8.7
62,CHEMBL111321,,368.29,0,NS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)c(Cl)c3)CCC2)cc1,1.995,nM,8.7
63,CHEMBL88532,,373.45,0,COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CC3(CC3)C2)cc1F,1.995,nM,8.7
64,CHEMBL52020,,377.39,0,Cc1cc(-c2cc(F)c(F)cc2-c2ccc(S(N)(=O)=O)cc2)ccc1F,1.995,nM,8.7
65,CHEMBL362779,,397.81,0,NS(=O)(=O)c1ccc(-c2ccc(F)c(F)c2-c2ccc(F)c(Cl)c2)cc1,1.995,nM,8.7
66,CHEMBL424063,,343.40,0,NS(=O)(=O)c1ccc(C2=C(c3ccc4c(c3)OCO4)CCC2)cc1,1.995,nM,8.7
67,CHEMBL52820,,397.80,0,NS(=O)(=O)c1ccc(-c2cc(F)c(F)cc2-c2ccc(F)c(Cl)c2)cc1,1.995,nM,8.7
68,CHEMBL365301,,377.39,0,Cc1cc(-c2c(-c3ccc(S(N)(=O)=O)cc3)ccc(F)c2F)ccc1F,1.995,nM,8.7
69,CHEMBL111562,,329.42,0,COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CCC2)cc1,1.995,nM,8.7
70,CHEMBL313313,,434.36,0,COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CC3(CC3)C2)cc1Br,1.995,nM,8.7
71,CHEMBL315585,,389.90,0,COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CC3(CC3)C2)cc1Cl,1.995,nM,8.7
72,CHEMBL52760,,396.82,1,CS(=O)(=O)c1ccc(-c2cc(F)c(F)cc2-c2ccc(F)c(Cl)c2)cc1,2.0,nM,8.7
73,CHEMBL1939677,,502.55,1,COc1ccc(-n2c(-c3ccc(S(C)(=O)=O)cc3)cc(CC(=O)OCCCO[N+](=O)[O-])c2C)cc1,2.0,nM,8.7
74,CHEMBL42485,DUP-697,411.32,1,CS(=O)(=O)c1ccc(-c2cc(Br)sc2-c2ccc(F)cc2)cc1,2.0,nM,8.7
75,CHEMBL539663,,373.40,0,CCC(C)Nc1nc(-c2ccc(S(C)(=O)=O)cc2)cc(C(F)(F)F)n1,2.0,nM,8.7
76,CHEMBL419407,,402.69,0,NS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2cc(Cl)cc(Cl)c2)cc1,2.0,nM,8.7
77,CHEMBL499348,,366.42,0,NS(=O)(=O)c1ccc(-c2[nH]c3ccc(F)cc3c2-c2ccccc2)cc1,2.0,nM,8.7
78,CHEMBL365865,,349.42,0,CS(=O)(=O)c1ccc(-c2c(-c3ccccc3)nn3ncccc23)cc1,2.0,nM,8.7
79,CHEMBL324312,,377.85,0,CCOc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1,2.0,nM,8.7
80,CHEMBL371477,,332.36,0,NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2CF)cc1,2.0,nM,8.7
81,CHEMBL171335,,357.45,0,NS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CCC3)C2)cc1,2.0,nM,8.7
82,CHEMBL329999,,392.44,1,CS(=O)(=O)c1ccc(C2=C(c3ccc(C(F)(F)F)cc3)CC3(CC3)C2)cc1,2.0,nM,8.7
83,CHEMBL271338,,413.45,0,CS(=O)(=O)c1ccc(-c2nc(NCc3cccs3)cc(C(F)(F)F)n2)cc1,2.1,nM,8.68
84,CHEMBL92443,,324.44,0,C=C1C(c2ccccc2)=C(c2ccc(S(C)(=O)=O)cc2)C1(C)C,2.2,nM,8.66
85,CHEMBL561609,,400.43,0,NS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(NC3CCCCC3)n2)cc1,2.4,nM,8.62
86,CHEMBL271549,,419.53,0,COCCOc1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,2.4,nM,8.62
87,CHEMBL88549,,368.45,0,CS(=O)(=O)c1ccc(C2=C(c3ccc4c(c3)OCO4)CC3(CC3)C2)cc1,2.5,nM,8.6
88,CHEMBL89429,,340.42,0,CS(=O)(=O)c1ccc(C2=CC3(C=C2c2ccc(F)cc2)CC3)cc1,2.6,nM,8.59
89,CHEMBL274893,SC-57666,316.40,0,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CCC2)cc1,2.6,nM,8.59
90,CHEMBL420987,,326.42,0,CC1(C)C(=O)C(c2ccccc2)=C1c1ccc(S(C)(=O)=O)cc1,2.8,nM,8.55
91,CHEMBL17184,,343.42,0,NS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CC3)C2)cc1,3.0,nM,8.52
92,CHEMBL155898,,410.50,0,CS(=O)(=O)c1ccc(-c2cnn(Cc3ccccc3)c(=O)c2OCC2CC2)cc1,3.0,nM,8.52
93,CHEMBL54327,,393.84,0,Cc1ccc(-c2cc(F)c(F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1Cl,3.0,nM,8.52
94,CHEMBL558340,,393.33,1,CS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)c(Cl)c3)CC3(CC3)C2)cc1,3.0,nM,8.52
95,CHEMBL156482,,423.44,0,CS(=O)(=O)c1ccc(-c2sc3nc(C(F)(F)F)nn3c2-c2ccccc2)cc1,3.0,nM,8.52
96,CHEMBL364804,GW-406381,393.47,0,CCOc1ccc(-c2nn3ncccc3c2-c2ccc(S(C)(=O)=O)cc2)cc1,3.0,nM,8.52
97,CHEMBL340573,,332.85,0,CS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)cc3)CCC2)cc1,3.0,nM,8.52
98,CHEMBL559613,,421.44,0,Cc1ccc(N(C)c2nc(-c3ccc(S(C)(=O)=O)cc3)cc(C(F)(F)F)n2)cc1,3.0,nM,8.52
99,CHEMBL127674,,312.43,0,Cc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CCC2)cc1,3.0,nM,8.52
100,CHEMBL314225,,361.41,0,NS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)CC3(CC3)C2)cc1,3.0,nM,8.52
101,CHEMBL111590,,333.84,0,NS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)cc3)CCC2)cc1,3.0,nM,8.52
102,CHEMBL332251,,347.83,0,Cc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1,3.0,nM,8.52
103,CHEMBL55805,,393.84,0,Cc1cc(-c2cc(F)c(F)cc2-c2ccc(S(N)(=O)=O)cc2)ccc1Cl,3.0,nM,8.52
104,CHEMBL421826,,437.47,0,Cc1cccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)sc3nc(C(F)(F)F)nn23)c1,3.0,nM,8.52
105,CHEMBL1288533,,313.06,0,O=C(O)C1=Cc2c(ccc(Cl)c2Cl)OC1C(F)(F)F,3.0,nM,8.52
106,CHEMBL298476,,415.82,0,Cc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)cc1Cl,3.0,nM,8.52
107,CHEMBL185547,,393.84,0,Cc1ccc(-c2c(-c3ccc(S(N)(=O)=O)cc3)ccc(F)c2F)cc1Cl,3.02,nM,8.52
108,CHEMBL185196,,393.84,0,Cc1cc(-c2c(-c3ccc(S(N)(=O)=O)cc3)ccc(F)c2F)ccc1Cl,3.02,nM,8.52
109,CHEMBL524542,,417.32,1,NS(=O)(=O)c1ccc(-c2[nH]c3ccc(Cl)cc3c2-c2cccc(Cl)c2)cc1,3.13,nM,8.5
110,CHEMBL92107,,360.43,0,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)CC3(CC3)C2)cc1,3.3,nM,8.48
111,CHEMBL328616,,372.40,0,CC(=O)Oc1ccccc1C1=C(c2ccc(S(C)(=O)=O)cc2)COC1=O,3.5,nM,8.46
112,CHEMBL2112567,,300.40,0,CC(C)(C)c1cc(/C=C2\CCOC2=O)cc2c1OCC2(C)C,3.5,nM,8.46
113,CHEMBL28913,,427.47,0,CSc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1C,3.7,nM,8.43
114,CHEMBL90447,,356.46,1,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CCC3)C2)cc1,3.981,nM,8.4
115,CHEMBL184076,,359.40,0,Cc1ccc(-c2c(-c3ccc(S(N)(=O)=O)cc3)ccc(F)c2F)cc1,3.981,nM,8.4
116,CHEMBL185163,,363.36,0,NS(=O)(=O)c1ccc(-c2ccc(F)c(F)c2-c2ccc(F)cc2)cc1,3.981,nM,8.4
117,CHEMBL296384,,363.36,0,NS(=O)(=O)c1ccc(-c2cc(F)c(F)cc2-c2ccc(F)cc2)cc1,3.981,nM,8.4
118,CHEMBL365883,,389.38,0,NS(=O)(=O)c1ccc(-c2ccc(F)c(F)c2-c2ccc3c(c2)OCO3)cc1,3.981,nM,8.4
119,CHEMBL300600,,389.38,0,NS(=O)(=O)c1ccc(-c2cc(F)c(F)cc2-c2ccc3c(c2)OCO3)cc1,3.981,nM,8.4
120,CHEMBL54370,,359.40,0,Cc1ccc(-c2cc(F)c(F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1,3.981,nM,8.4
121,CHEMBL88493,,424.35,1,COc1c(Cl)cc(C2=C(c3ccc(S(N)(=O)=O)cc3)CC3(CC3)C2)cc1Cl,3.981,nM,8.4
122,CHEMBL117862,,380.83,0,COc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1F,4.0,nM,8.4
123,CHEMBL324509,,376.87,0,CCOc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,4.0,nM,8.4
124,CHEMBL270294,,430.50,0,CS(=O)(=O)c1ccc(-c2nc(SCc3cccs3)cc(C(F)(F)F)n2)cc1,4.1,nM,8.39
125,CHEMBL444805,,329.42,0,CC1C(c2ccccc2)=C(c2ccc(S(C)(=O)=O)cc2)ON1C,4.2,nM,8.38
126,CHEMBL28881,,410.42,0,CN(C)c1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,4.677,nM,8.33
127,CHEMBL1077,BROMFENAC,334.17,0,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,4.803,nM,8.32
128,CHEMBL435381,CIMICOXIB,381.82,0,COc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1F,5.0,nM,8.3
129,CHEMBL865,VALDECOXIB,314.37,0,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,5.0,nM,8.3
130,CHEMBL443791,,376.40,1,Cc1cc(-c2cc(F)c(F)cc2-c2ccc(S(C)(=O)=O)cc2)ccc1F,5.0,nM,8.3
131,CHEMBL502286,,427.32,0,NS(=O)(=O)c1ccc(-c2[nH]c3ccc(Br)cc3c2-c2ccccc2)cc1,5.0,nM,8.3
132,CHEMBL51860,,389.42,0,COc1ccc(-c2cc(F)c(F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1C,5.0,nM,8.3
133,CHEMBL115979,,398.27,0,COc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1Cl,5.0,nM,8.3
134,CHEMBL563322,,415.44,0,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(NCC3CCOCC3)n2)cc1,5.0,nM,8.3
135,CHEMBL89089,,354.47,0,COc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CC3(CC3)C2)cc1,5.0,nM,8.3
136,CHEMBL1206690,PARECOXIB,370.43,0,CCC(=O)NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1,5.0,nM,8.3
137,CHEMBL278492,,364.88,0,Cc1nc(-c2ccc(Cl)cc2)c(-c2ccc(S(N)(=O)=O)cc2)s1,5.0,nM,8.3
138,CHEMBL1630225,,334.72,0,CC(C)(C)c1cc2c(cc1Cl)C=C(C(=O)O)C(C(F)(F)F)O2,5.0,nM,8.3
139,CHEMBL91832,,344.41,0,CC1(C)C(=O)C(c2ccc(F)cc2)=C1c1ccc(S(C)(=O)=O)cc1,5.0,nM,8.3
140,CHEMBL139,DICLOFENAC,296.15,0,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,5.0,nM,8.3
141,CHEMBL558728,,359.37,0,CCCNc1nc(-c2ccc(S(C)(=O)=O)cc2)cc(C(F)(F)F)n1,5.0,nM,8.3
142,CHEMBL80405,,365.43,0,NS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)c3ccccc3C2)cc1,5.0,nM,8.3
143,CHEMBL109623,,375.92,0,CN(C)c1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CCC2)cc1Cl,5.0,nM,8.3
144,CHEMBL1630249,,320.69,0,CCCc1cc2c(cc1Cl)C=C(C(=O)O)[C@H](C(F)(F)F)O2,5.0,nM,8.3
145,CHEMBL525246,,365.43,1,CS(=O)(=O)c1ccc(-c2[nH]c3ccc(F)cc3c2-c2ccccc2)cc1,5.0,nM,8.3
146,CHEMBL76692,,397.43,0,COc1ccc(-c2c(-c3ccc(S(N)(=O)=O)cc3)oc3ccccc23)cc1F,5.0,nM,8.3
147,CHEMBL54326,,373.42,0,Cc1ccc(-c2cc(F)c(F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1C,5.0,nM,8.3
148,CHEMBL184341,,389.42,0,COc1ccc(-c2c(-c3ccc(S(N)(=O)=O)cc3)ccc(F)c2F)cc1C,5.012,nM,8.3
149,CHEMBL184375,,373.42,0,Cc1ccc(-c2c(-c3ccc(S(N)(=O)=O)cc3)ccc(F)c2F)cc1C,5.012,nM,8.3
150,CHEMBL188071,,376.40,1,Cc1cc(-c2c(-c3ccc(S(C)(=O)=O)cc3)ccc(F)c2F)ccc1F,5.012,nM,8.3
151,CHEMBL271932,,369.45,0,COc1cc(NCc2ccccc2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,5.1,nM,8.29
152,CHEMBL499347,,366.42,0,NS(=O)(=O)c1ccc(-c2[nH]c3ccccc3c2-c2ccc(F)cc2)cc1,5.15,nM,8.29
153,CHEMBL280636,,436.24,0,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)c(Cl)c2-c2ccc(Cl)cc2)cc1,5.248,nM,8.28
154,CHEMBL403957,,447.89,0,CS(=O)(=O)c1ccc(-c2nc(NCc3ccc(Cl)s3)cc(C(F)(F)F)n2)cc1,5.4,nM,8.27
155,CHEMBL561950,,393.39,0,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(Nc3ccccc3)n2)cc1,5.6,nM,8.25
156,CHEMBL1950017,,312.30,0,Cc1ccnc(C(=O)c2[nH]c3ccc(F)cc3c2CC(=O)O)c1,5.68,nM,8.25
157,CHEMBL29899,,428.41,0,CN(C)c1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1F,5.7,nM,8.24
158,CHEMBL4858751,,349.80,0,Cc1cc(-c2ccccn2)nn1S(=O)(=O)Oc1ccc(Cl)cc1,5.8,nM,8.24
159,CHEMBL3314086,,476.36,1,CC(C)c1ccc2occ(/C=C3/C(=O)N(c4c(Cl)cccc4Cl)c4ccccc43)c(=O)c2c1,5.8,nM,8.24
160,CHEMBL6,INDOMETHACIN,357.79,0,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,5.9,nM,8.23
161,CHEMBL273118,,463.51,1,CS(=O)(=O)c1ccc(-c2nc(NCc3cc4ccccc4s3)cc(C(F)(F)F)n2)cc1,5.92,nM,8.23
162,CHEMBL52872,,422.88,0,CN(C)c1ccc(-c2cc(F)c(F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1Cl,6.0,nM,8.22
163,CHEMBL315520,,423.36,1,COc1c(Cl)cc(C2=C(c3ccc(S(C)(=O)=O)cc3)CC3(CC3)C2)cc1Cl,6.0,nM,8.22
164,CHEMBL4067898,,442.48,0,COc1ccccc1-n1cc(COC(=O)C2CCn3c(C(=O)c4ccccc4)ccc32)nn1,6.0,nM,8.22
165,CHEMBL325298,,364.83,0,Cc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1F,6.0,nM,8.22
166,CHEMBL97059,,447.41,0,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)c3c2-c2cc(F)c(F)cc2CS3)cc1,6.0,nM,8.22
167,CHEMBL17047,,401.41,1,CS(=O)(=O)c1ccc(-c2nc(C(F)(F)F)sc2-c2ccc(F)cc2)cc1,6.0,nM,8.22
168,CHEMBL157714,,381.48,0,C=Cc1nc2sc(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccccc3)n2n1,6.0,nM,8.22
169,CHEMBL52402,,343.84,0,NS(=O)(=O)c1ccc(-c2ccccc2-c2ccc(Cl)cc2)cc1,6.0,nM,8.22
170,CHEMBL326335,,376.82,0,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc3c(c2)OCO3)cc1,6.0,nM,8.22
171,CHEMBL278392,,415.73,1,CS(=O)(=O)c1ccc(C2=C(c3cc(Cl)c(Cl)c(Cl)c3)C(=O)CC2)cc1,6.0,nM,8.22
172,CHEMBL57837,,392.85,1,Cc1cc(-c2cc(F)c(F)cc2-c2ccc(S(C)(=O)=O)cc2)ccc1Cl,6.0,nM,8.22
173,CHEMBL278336,,336.41,0,CS(=O)(=O)c1ccc(C2=C(C#Cc3ccccc3)C(=O)CC2)cc1,6.0,nM,8.22
174,CHEMBL3233602,,376.82,0,CN1C(=O)C(c2ccc(Cl)cc2)=C(c2ccc(S(N)(=O)=O)cc2)C1=O,6.0,nM,8.22
175,CHEMBL1288592,,347.50,0,O=C(O)C1=Cc2c(cc(Cl)c(Cl)c2Cl)OC1C(F)(F)F,6.0,nM,8.22
176,CHEMBL324826,,401.70,0,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2cccc(Cl)c2Cl)cc1,6.0,nM,8.22
