"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL29500";"";"0";"407.42";"0";"3.69";"1aq";"NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3c(c2)CCC3)cc1";"IC50";"'='";"31.0";"nM";"7.51";"";"";"UO_0000065";"18.43";"0.37";"3.82";"9.63";"1";"CHEMBL763093";"In vitro inhibitory concentration required to block human recombinant prostaglandin G/H synthase 2 (COX-2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130002";"1";"Scientific Literature";"J. Med. Chem.";"1997";"None";""
"CHEMBL29941";"";"0";"427.42";"0";"4.30";"25c";"CCCc1c(C(F)(F)F)nn(-c2ccc(S(N)(=O)=O)cc2)c1-c1ccc(F)cc1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL763093";"In vitro inhibitory concentration required to block human recombinant prostaglandin G/H synthase 2 (COX-2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130002";"1";"Scientific Literature";"J. Med. Chem.";"1997";"None";""
"CHEMBL23245";"";"0";"330.38";"0";"3.50";"5";"CS(=O)(=O)c1ccc(C2=C(c3cccc(F)c3)C(=O)CC2)cc1";"IC50";"'='";"340.0";"nM";"6.47";"";"";"UO_0000065";"19.58";"0.38";"2.97";"12.63";"0";"CHEMBL658502";"In vitro potency against human Prostaglandin G/H synthase 2 in the human whole blood assay.";"B";"BAO_0000221";"tissue-based format";"None";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132626";"1";"Scientific Literature";"J. Med. Chem.";"1999";"None";""
"CHEMBL290608";"";"0";"366.44";"1";"5.01";"V";"CCN(CC)OC(=O)c1ccc(-n2c(C)ccc2-c2ccc(F)cc2)cc1";"IC50";"";"";"nM";"";"";"Active";"UO_0000065";"";"";"";"";"0";"CHEMBL762915";"In vitro inhibitory activity against human Prostaglandin G/H synthase 2; Active";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130038";"1";"Scientific Literature";"J. Med. Chem.";"1997";"None";""
"CHEMBL286277";"";"0";"317.35";"0";"2.33";"22b";"NS(=O)(=O)c1ccc(-n2ncc(F)c2-c2ccccc2)cc1";"IC50";"'='";"4660.0";"nM";"5.33";"";"";"UO_0000065";"16.80";"0.33";"3.00";"6.84";"1";"CHEMBL763093";"In vitro inhibitory concentration required to block human recombinant prostaglandin G/H synthase 2 (COX-2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130002";"1";"Scientific Literature";"J. Med. Chem.";"1997";"None";""
"CHEMBL321216";"";"0";"381.38";"0";"3.67";"113";"Cc1ccnc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1";"IC50";"'='";"524.81";"nM";"6.28";"";"";"UO_0000065";"16.47";"0.33";"2.61";"9.68";"0";"CHEMBL763870";"Inhibition of human Prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134614";"1";"Scientific Literature";"J. Med. Chem.";"2001";"None";""
"CHEMBL321643";"";"0";"398.31";"0";"4.74";"164";"COc1c(Cl)cc(C2=C(c3ccc(S(N)(=O)=O)cc3)CCC2)cc1Cl";"IC50";"'='";"8.913";"nM";"8.05";"";"";"UO_0000065";"20.21";"0.44";"3.31";"11.60";"0";"CHEMBL763870";"Inhibition of human Prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134614";"1";"Scientific Literature";"J. Med. Chem.";"2001";"None";""
"CHEMBL110401";"";"0";"394.39";"0";"3.49";"5c";"CC1(C)OC(=O)C(Oc2ccc(F)c(F)c2)=C1c1ccc(S(C)(=O)=O)cc1";"IC50";"'='";"10.0";"nM";"8.00";"";"";"UO_0000065";"20.28";"0.40";"4.51";"11.48";"0";"CHEMBL665721";"In vitro inhibitory potency against human COX-2 in stably transfected chinese hamster ovary (CHO) cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132677";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1999";"CHEMBL3308072";""
"CHEMBL1957568";"";"0";"477.51";"1";"0.14";"7, FB-Phe-Cys-Ser";"O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CS)C(=O)N[C@@H](CO)C(=O)O)c1ccc(F)cc1";"IC50";"'='";"13000.0";"nM";"4.89";"";"";"UO_0000065";"10.23";"0.20";"4.75";"3.37";"0";"CHEMBL1960469";"Inhibition of human recombinant COX2 by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1955752";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2012";"None";""
"CHEMBL280496";"";"0";"409.51";"1";"5.69";"9";"CS(=O)(=O)c1ccc(-c2nc(-c3ccccc3)sc2-c2ccc(F)cc2)cc1";"IC50";"'='";"540.0";"nM";"6.27";"";"";"UO_0000065";"15.31";"0.31";"0.58";"13.33";"0";"CHEMBL665714";"Inhibition of human cyclooxygenase-2 (hCOX-2) enzyme.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132704";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1999";"None";""
"CHEMBL324670";"";"0";"374.48";"0";"3.93";"6a";"CC1(C)OC(=O)C(Sc2ccccc2)=C1c1ccc(S(C)(=O)=O)cc1";"IC50";"'='";"1500.0";"nM";"5.82";"";"";"UO_0000065";"15.55";"0.32";"1.89";"9.64";"0";"CHEMBL665720";"In vitro inhibitory potency against human COX-2 (HWB COX-2) by whole blood assay";"B";"BAO_0000221";"tissue-based format";"None";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132677";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1999";"None";""
"CHEMBL111045";"";"0";"452.39";"1";"6.04";"145";"CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC(C(F)(F)F)(C(F)(F)F)C2)cc1";"IC50";"'='";"67.61";"nM";"7.17";"";"";"UO_0000065";"15.85";"0.33";"1.13";"21.00";"0";"CHEMBL763870";"Inhibition of human Prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134614";"1";"Scientific Literature";"J. Med. Chem.";"2001";"None";""
"CHEMBL324312";"";"0";"377.85";"0";"3.24";"51d";"CCOc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1";"IC50";"'='";"27.0";"nM";"7.57";"";"";"UO_0000065";"20.03";"0.41";"4.33";"8.68";"0";"CHEMBL766721";"In vitro percent inhibition of Prostaglandin G/H synthase 2 (COX-2) in human whole blood was determined";"B";"BAO_0000221";"tissue-based format";"None";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145864";"1";"Scientific Literature";"J. Med. Chem.";"2003";"None";""
"CHEMBL25030";"";"0";"442.94";"0";"3.98";"11";"COc1ccc2c(c1)c(CC(=O)N[C@H](CO)C(C)C)c(C)n2C(=O)c1ccc(Cl)cc1";"IC50";"'='";"370.0";"nM";"6.43";"";"";"UO_0000065";"14.52";"0.28";"2.45";"7.98";"1";"CHEMBL769646";"Inhibitory concentration against human prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135305";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2002";"None";""
"CHEMBL18264";"";"0";"350.34";"0";"2.84";"MF-tricyclic";"CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)C(=O)OC2)cc1";"IC50";"'='";"230.0";"nM";"6.64";"";"";"UO_0000065";"18.95";"0.38";"3.80";"10.98";"0";"CHEMBL768962";"Inhibitory activity against recombinant human Prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147594";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2004";"None";""
"CHEMBL55348";"";"0";"409.84";"0";"4.61";"195";"COc1ccc(-c2cc(F)c(F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1Cl";"IC50";"'='";"12.88";"nM";"7.89";"";"";"UO_0000065";"19.25";"0.40";"3.28";"11.37";"0";"CHEMBL763870";"Inhibition of human Prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134614";"1";"Scientific Literature";"J. Med. Chem.";"2001";"None";""
"CHEMBL423576";"";"0";"390.44";"0";"4.41";"2g";"CS(=O)(=O)c1ccc(-c2c(-c3ccc(F)c(F)c3)nc3sccn23)cc1";"IC50";"'='";"12.0";"nM";"7.92";"";"";"UO_0000065";"20.29";"0.42";"3.51";"15.40";"0";"CHEMBL665718";"In vitro inhibition of the production of PGE-2 in arachidonic acid stimulated chinese hamster ovary (CHO) cells transfected with human cyclooxygenase-2";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129863";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1997";"CHEMBL3308072";""
"CHEMBL423576";"";"0";"390.44";"0";"4.41";"2g";"CS(=O)(=O)c1ccc(-c2c(-c3ccc(F)c(F)c3)nc3sccn23)cc1";"IC50";"'='";"2200.0";"nM";"5.66";"";"";"UO_0000065";"14.49";"0.30";"1.25";"11.00";"0";"CHEMBL664077";"In vivo ability to inhibit cyclooxygenase-2 enzyme in human whole blood was determined";"B";"BAO_0000218";"organism-based format";"None";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129863";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1997";"None";""
"CHEMBL44290";"";"0";"371.43";"0";"4.20";"10";"CC(=O)c1cc(-c2ccc(S(C)(=O)=O)cc2)n(-c2ccc(F)cc2)c1C";"IC50";"'='";"1621.81";"nM";"5.79";"";"";"UO_0000065";"15.59";"0.30";"1.59";"10.31";"0";"CHEMBL763870";"Inhibition of human Prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134614";"1";"Scientific Literature";"J. Med. Chem.";"2001";"None";""
"CHEMBL358783";"";"0";"298.40";"0";"3.36";"81";"CCCCCCCS(=O)(=O)c1ccccc1OC(C)=O";"IC50";"'>'";"40000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL760085";"Inhibitory concentration in DMSO with purified human Prostaglandin G/H synthase 2 (COX-2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131194";"1";"Scientific Literature";"J. Med. Chem.";"1998";"None";""
"CHEMBL297008";"";"0";"311.41";"0";"3.86";"2";"Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccccc1";"IC50";"'='";"60.26";"nM";"7.22";"";"";"UO_0000065";"23.18";"0.45";"3.36";"18.48";"0";"CHEMBL763870";"Inhibition of human Prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134614";"1";"Scientific Literature";"J. Med. Chem.";"2001";"None";""
"CHEMBL44977";"";"0";"427.42";"0";"4.17";"56";"CN(C)c1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1F";"IC50";"'='";"331.13";"nM";"6.48";"";"";"UO_0000065";"15.16";"0.31";"2.31";"11.74";"0";"CHEMBL763870";"Inhibition of human Prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134614";"1";"Scientific Literature";"J. Med. Chem.";"2001";"None";""
"CHEMBL327078";"";"0";"382.37";"0";"2.91";"116";"Cc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)nc1";"IC50";"'='";"724.44";"nM";"6.14";"";"";"UO_0000065";"16.06";"0.32";"3.23";"6.76";"0";"CHEMBL763870";"Inhibition of human Prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134614";"1";"Scientific Literature";"J. Med. Chem.";"2001";"None";""
"CHEMBL345018";"";"0";"262.37";"0";"3.90";"70";"CCCCC#CCSc1ccccc1OC(C)=O";"IC50";"'='";"800.0";"nM";"6.10";"";"";"UO_0000065";"23.24";"0.46";"2.20";"23.18";"0";"CHEMBL760085";"Inhibitory concentration in DMSO with purified human Prostaglandin G/H synthase 2 (COX-2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131194";"1";"Scientific Literature";"J. Med. Chem.";"1998";"None";""
"CHEMBL6";"INDOMETHACIN";"4";"357.79";"0";"3.93";"Indomethacin";"COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1";"IC50";"'='";"5.9";"nM";"8.23";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL766726";"Inhibition of PGE-2 generation in LPS-stimulated human monocytes (Prostaglandin G/H synthase 2 cell assay)";"F";"BAO_0000219";"cell-based format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136052";"1";"Scientific Literature";"J. Med. Chem.";"2002";"None";""
"CHEMBL145283";"";"0";"276.40";"0";"4.29";"74";"CCCCC#CCSc1ccccc1OC(=O)CC";"IC50";"'>'";"40000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL760085";"Inhibitory concentration in DMSO with purified human Prostaglandin G/H synthase 2 (COX-2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131194";"1";"Scientific Literature";"J. Med. Chem.";"1998";"None";""
"CHEMBL319099";"";"0";"392.52";"0";"3.89";"11f";"CS(=O)(=O)c1ccc(-c2cscc2-c2ccc(S(C)(=O)=O)cc2)cc1";"IC50";"'>'";"300000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL760084";"Compound was evaluated for inhibitory activity against human Prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150491";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1996";"None";""
"CHEMBL42801";"";"0";"386.49";"0";"4.06";"36";"Cc1c(CN(C)C)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1";"IC50";"'='";"100000.0";"nM";"4.00";"";"";"UO_0000065";"10.35";"0.20";"-0.06";"9.45";"0";"CHEMBL762912";"In vitro inhibitory activity against human prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130038";"1";"Scientific Literature";"J. Med. Chem.";"1997";"None";""
"CHEMBL361563";"";"0";"369.41";"0";"3.62";"3";"CS(=O)(=O)Nc1cc2c(cc1Sc1cccc(F)c1F)C(=O)CC2";"IC50";"'='";"50.0";"nM";"7.30";"";"";"UO_0000065";"19.76";"0.42";"3.68";"11.54";"0";"CHEMBL768683";"Inhibition of human Prostaglandin G/H synthase 2 at 10 ug/mL expressed as the mean percent inhibition of control PGE-2 production";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129978";"1";"Scientific Literature";"J. Med. Chem.";"1997";"None";""
"CHEMBL19286";"";"0";"248.32";"0";"2.58";"5b";"C[C@H](C(=O)O)c1ccc(C[C@@H]2CCC[C@H]2O)cc1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL768962";"Inhibitory activity against recombinant human Prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147594";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2004";"None";""
"CHEMBL282093";"";"0";"401.80";"0";"3.86";"1f";"NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2)cc1";"IC50";"'='";"10.0";"nM";"8.00";"";"";"UO_0000065";"19.91";"0.42";"4.14";"10.26";"1";"CHEMBL763093";"In vitro inhibitory concentration required to block human recombinant prostaglandin G/H synthase 2 (COX-2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130002";"1";"Scientific Literature";"J. Med. Chem.";"1997";"None";""
